# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 2.5000000000e+02
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (2.0000000000e-01 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
179               	-9.9129921326e-05	9.9368095618e-03	4.5886275774e-04	1.3030145754e-04	3.2856130020e-04
180               	-9.8508515675e-05	9.9320701228e-03	4.5611880978e-04	1.2955088922e-04	3.2656792057e-04
181               	-9.8016324155e-05	9.9263723585e-03	4.5344567370e-04	1.2870651270e-04	3.2473916101e-04
182               	-9.7833271054e-05	9.9184421662e-03	4.5173600321e-04	1.2803473055e-04	3.2370127266e-04
183               	-9.7823660218e-05	9.9093250653e-03	4.5082701574e-04	1.2758984765e-04	3.2323716809e-04
184               	-9.7734687297e-05	9.9007181183e-03	4.4997544581e-04	1.2725303561e-04	3.2272241020e-04
185               	-9.7439974045e-05	9.8933783491e-03	4.4865306989e-04	1.2688656090e-04	3.2176650899e-04
186               	-9.7004220597e-05	9.8868654021e-03	4.4688892475e-04	1.2644024178e-04	3.2044868297e-04
187               	-9.6571727763e-05	9.8802834161e-03	4.4505671885e-04	1.2595663166e-04	3.1910008719e-04
188               	-9.6223800953e-05	9.8730852852e-03	4.4346155970e-04	1.2550697889e-04	3.1795458080e-04
189               	-9.5930355836e-05	9.8653476999e-03	4.4211550079e-04	1.2512739456e-04	3.1698810623e-04
190               	-9.5607861446e-05	9.8575271609e-03	4.4082155949e-04	1.2480291830e-04	3.1601864119e-04
191               	-9.5205636690e-05	9.8500353992e-03	4.3940060214e-04	1.2449466438e-04	3.1490593776e-04
192               	-9.4739736195e-05	9.8429646603e-03	4.3782965590e-04	1.2417509175e-04	3.1365456414e-04
193               	-9.4265002711e-05	9.8361002924e-03	4.3621537464e-04	1.2384268461e-04	3.1237269003e-04
194               	-9.3824075929e-05	9.8291478424e-03	4.3467247530e-04	1.2351216172e-04	3.1116031358e-04
195               	-9.3336812791e-05	9.8219396862e-03	4.3252424037e-04	1.2292530739e-04	3.0959893298e-04
196               	-9.3139315723e-05	9.8135298857e-03	4.3231245209e-04	1.2301691032e-04	3.0929554177e-04
197               	-9.2686513236e-05	9.8062927157e-03	4.3057700230e-04	1.2260198791e-04	3.0797501439e-04
198               	-9.2224916055e-05	9.7995151135e-03	4.2896960187e-04	1.2225988488e-04	3.0670971699e-04
199               	-9.1828695215e-05	9.7925201046e-03	4.2771898671e-04	1.2203079814e-04	3.0568818857e-04
200               	-9.1470999071e-05	9.7853858395e-03	4.2660528846e-04	1.2183164516e-04	3.0477364330e-04
201               	-9.1091642979e-05	9.7784397198e-03	4.2535265602e-04	1.2158468503e-04	3.0376797099e-04
202               	-9.0674307771e-05	9.7716370888e-03	4.2393698957e-04	1.2129418701e-04	3.0264280255e-04
203               	-9.0245548762e-05	9.7646861453e-03	4.2251640140e-04	1.2101265194e-04	3.0150374946e-04
204               	-8.9825229843e-05	9.7575140705e-03	4.2119121133e-04	1.2077037582e-04	3.0042083551e-04
205               	-8.9403490771e-05	9.7503550883e-03	4.1991112320e-04	1.2055207083e-04	2.9935905237e-04
206               	-8.8961369939e-05	9.7434360389e-03	4.1857650102e-04	1.2032688057e-04	2.9824962045e-04
207               	-8.8496286598e-05	9.7367262118e-03	4.1715863646e-04	1.2008303163e-04	2.9707560483e-04
208               	-8.8021592171e-05	9.7300212417e-03	4.1570614039e-04	1.1983147802e-04	2.9587466237e-04
209               	-8.7548252302e-05	9.7231866111e-03	4.1426932393e-04	1.1958640966e-04	2.9468291427e-04
210               	-8.7073756282e-05	9.7162683919e-03	4.1284728933e-04	1.1934988838e-04	2.9349740095e-04
211               	-8.6588401218e-05	9.7093962575e-03	4.1140412966e-04	1.1911366361e-04	2.9229046605e-04
212               	-8.6088226509e-05	9.7026403314e-03	4.0991423384e-04	1.1886889041e-04	2.9104534343e-04
213               	-8.5579875705e-05	9.6959704343e-03	4.0838779693e-04	1.1861402276e-04	2.8977377417e-04
214               	-8.5074743219e-05	9.6893169716e-03	4.0685509246e-04	1.1835280301e-04	2.8850228945e-04
215               	-8.4579871660e-05	9.6826422754e-03	4.0533694859e-04	1.1808860263e-04	2.8724834595e-04
216               	-8.4094272033e-05	9.6759584202e-03	4.0383171925e-04	1.1782158759e-04	2.8601013166e-04
217               	-8.3612469927e-05	9.6693005755e-03	4.0232489091e-04	1.1754997553e-04	2.8477491538e-04
218               	-8.3130272911e-05	9.6626903154e-03	4.0080564972e-04	1.1727255195e-04	2.8353309777e-04
219               	-8.2647338915e-05	9.6561230408e-03	3.9927406450e-04	1.1698969334e-04	2.8228437117e-04
220               	-8.2165683462e-05	9.6495815815e-03	3.9773627488e-04	1.1670245398e-04	2.8103382090e-04
221               	-8.1686882851e-05	9.6430514523e-03	3.9619648137e-04	1.1641135783e-04	2.7978512353e-04
222               	-8.1210894276e-05	9.6365320878e-03	3.9465389658e-04	1.1611605402e-04	2.7853784257e-04
223               	-8.0736773044e-05	9.6300312168e-03	3.9310529541e-04	1.1581587466e-04	2.7728942075e-04
224               	-8.0266605254e-05	9.6235583518e-03	3.9155589385e-04	1.1551134167e-04	2.7604455218e-04
225               	-7.9806055809e-05	9.6171180178e-03	3.9001928363e-04	1.1520358600e-04	2.7481569762e-04
226               	-7.9355451524e-05	9.6107067235e-03	3.8849516397e-04	1.1489213046e-04	2.7360303351e-04
227               	-7.8908544460e-05	9.6043178212e-03	3.8696931931e-04	1.1457611520e-04	2.7239320412e-04
228               	-7.8460885236e-05	9.5979465897e-03	3.8543131773e-04	1.1425477363e-04	2.7117654410e-04
229               	-7.7994627449e-05	9.5914342043e-03	3.8372964214e-04	1.1387019362e-04	2.6985944852e-04
230               	-7.7585138560e-05	9.5850718320e-03	3.8241302639e-04	1.1362137464e-04	2.6879165176e-04
231               	-7.7114833177e-05	9.5786872410e-03	3.8073217466e-04	1.1325125415e-04	2.6748092050e-04
232               	-7.6645199070e-05	9.5724620937e-03	3.7907915802e-04	1.1289437994e-04	2.6618477808e-04
233               	-7.6190175595e-05	9.5662396082e-03	3.7750265076e-04	1.1256114978e-04	2.6494150097e-04
234               	-7.5737564264e-05	9.5599930529e-03	3.7593340859e-04	1.1222914003e-04	2.6370426856e-04
235               	-7.5273153285e-05	9.5537841123e-03	3.7430092148e-04	1.1187730746e-04	2.6242361402e-04
236               	-7.4799483623e-05	9.5476268760e-03	3.7261284438e-04	1.1150693857e-04	2.6110590581e-04
237               	-7.4329708460e-05	9.5414718970e-03	3.7092409875e-04	1.1113234092e-04	2.5979175784e-04
238               	-7.3866923480e-05	9.5352937612e-03	3.6925495173e-04	1.1076055239e-04	2.5849439935e-04
