# Residuals       
# Time            	p                 	Ux                	Uz                	k                 	omega             
115               	9.1699372743e-03	2.5445843813e-05	9.4911060264e-04	1.3918778924e-05	1.3796061674e-06
116               	8.9374777762e-03	2.4133384097e-05	9.0318408769e-04	1.3698535448e-05	1.3398261690e-06
117               	8.5373020463e-03	2.2647361264e-05	9.0908568672e-04	1.3466240725e-05	1.3135296514e-06
118               	7.9333944556e-03	2.2158031188e-05	9.4204439410e-04	1.3247535170e-05	1.2763540094e-06
119               	7.3914634658e-03	2.2225753696e-05	9.4552659292e-04	1.3013118768e-05	1.2513078152e-06
120               	7.0716359444e-03	2.2115698616e-05	9.0201402116e-04	1.2795463762e-05	1.2181047299e-06
121               	6.8478368771e-03	2.1795313196e-05	8.1918539894e-04	1.2582121259e-05	1.1926601079e-06
122               	6.5480331191e-03	2.1744203905e-05	7.7584291253e-04	1.2366992866e-05	1.1726531151e-06
123               	6.0778143878e-03	2.2197274975e-05	7.7615135565e-04	1.2173209150e-05	1.1433923681e-06
124               	5.5891493665e-03	2.2534507013e-05	7.5567351999e-04	1.1985084860e-05	1.1200237081e-06
125               	5.3192217324e-03	2.2124504580e-05	7.1841615416e-04	1.1803477317e-05	1.0973757192e-06
126               	5.1013159004e-03	2.1164006786e-05	7.0875274543e-04	1.1625862496e-05	1.0756747388e-06
127               	4.8466750212e-03	2.0308945626e-05	7.3345505209e-04	1.1451862088e-05	1.0552565307e-06
128               	4.4646148378e-03	2.0054576891e-05	7.4806022313e-04	1.1287415828e-05	1.0348721050e-06
129               	4.0873993350e-03	2.0014125921e-05	7.2410102044e-04	1.1134751129e-05	1.0149554084e-06
130               	3.8818972081e-03	1.9845248794e-05	6.6931017028e-04	1.0990937415e-05	9.9600919278e-07
131               	3.7187135223e-03	1.9660782090e-05	6.1078679922e-04	1.0851156272e-05	9.7856599096e-07
132               	3.5218946055e-03	1.9857958670e-05	6.1445586007e-04	1.0714337552e-05	9.6239612579e-07
133               	3.2829097518e-03	2.0167171375e-05	6.2310414788e-04	1.0581856606e-05	9.4673886693e-07
134               	3.0435776472e-03	2.0014637144e-05	6.1027676379e-04	1.0452268824e-05	9.3165126568e-07
135               	2.8964937242e-03	1.9432230307e-05	5.9877729713e-04	1.0325665997e-05	9.1710438853e-07
136               	2.7591287292e-03	1.8766413602e-05	6.0210329572e-04	1.0203353160e-05	9.0324326281e-07
137               	2.6383791746e-03	1.8459848405e-05	6.0173574720e-04	1.0086521487e-05	8.8977230283e-07
138               	2.5041183509e-03	1.8401550889e-05	5.8467556391e-04	9.9712741039e-06	8.7659033442e-07
139               	2.3685064801e-03	1.8293384037e-05	5.5320258256e-04	9.8577152186e-06	8.6417451105e-07
140               	2.2641907236e-03	1.8158467332e-05	5.2945370467e-04	9.7485733167e-06	8.5239181994e-07
